alpha_center_deg,delta_alpha_deg,beta_deg,z0x,z0y,z0z,x0x,x0y,x0z,smin,n_rows
-69.53800000000001,-69.53800000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-69.4355,-69.4355,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-69.333,-69.333,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-69.23049999999999,-69.23049999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-69.1275,-69.1275,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-69.025,-24.69560768127461,32.86693959640279,0.0,-0.0027300537343679515,0.005180670528988782,-0.7071094162578895,-0.7071041460346604,-1.0001008339195585e-05,9.59463559698404e-38,6
-68.9225,26.154603102296903,12.586231370743032,-0.5773502691896268,0.5773502691896256,-0.5773502691896248,-0.2564729250152507,-0.12823646250762571,0.12823646250762571,0.0,6
-68.8195,87.39877033249651,12.586231370743032,0.997171364361423,-0.05314729578058653,0.053147295780586495,0.07516162649635989,0.7051066337450039,-0.7051066337450037,0.0,6
-68.717,-68.717,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-68.6145,-68.6145,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-68.51200000000001,-68.51200000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-68.40950000000001,-68.40950000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-68.3065,-68.3065,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-68.204,-68.204,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-68.1015,-68.1015,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.9985,-67.9985,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.89600000000002,-67.89600000000002,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.79350000000001,-67.79350000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.6905,-67.6905,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.588,-67.588,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.48549999999999,-67.48549999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.38299999999998,-67.38299999999998,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.2805,-67.2805,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.17750000000001,-67.17750000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-67.075,-67.075,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-66.97250000000001,-66.97250000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-66.8695,-66.8695,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.767,-66.767,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.66449999999999,-66.66449999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.56150000000001,-66.56150000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.459,-66.459,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.3565,-66.3565,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.25400000000002,-66.25400000000002,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.15150000000001,-66.15150000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-66.0485,-66.0485,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-65.946,42.41432336992177,12.586231370743032,0.9968538213964396,-0.056046671477060536,0.0560466714770605,0.07926196292872838,0.704882096961146,-0.7048820969611459,0.0,6
-65.84349999999999,-71.25117997579768,77.43089254225407,-0.0,0.08695707282631118,0.07370650749856267,-2.1811509535777044e-17,-0.7063438552792656,-0.7078688848291214,1.5909890516670665e-54,6
-65.7405,-19.91498915196871,68.89041925718728,-0.9532372025116291,-0.07469734416806074,0.2928466194478634,-0.020730287955269315,-0.9505320698772683,-0.3099339273073012,-0.0,6
-65.63799999999999,35.63322327887972,66.35841188206221,-0.9534625892455927,-0.09534625892455892,0.2860387767736766,-0.01433698753424401,0.9619471725816532,0.27285909907973727,0.0,6
-65.5355,44.40314479355666,29.785327662891543,0.9986985719019876,0.016128119794106065,-0.04838435938231819,0.0510015929254211,-0.315816218316772,0.9474486549503158,0.0,6
-65.433,-65.433,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-65.3305,-65.3305,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-65.2275,-65.2275,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-65.125,-65.125,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-65.02250000000001,-65.02250000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.91949999999999,-64.91949999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.817,-64.817,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
