h,k,l,I,sigma,intensity,frame,gx,gy,gz,g_norm
-20,-4,0,734.47,1198.3,,,-3.7319600000000004,-0.29956000000000005,-0.36627999999999994,3.7618376724149067
-20,-2,-4,7392.17,3515.0,,,-3.7568400000000004,-0.03617999999999999,0.41494,3.779858592804763
-20,0,-8,1221.23,1198.31,,,-3.7817200000000004,0.22719999999999996,1.19616,3.9728861982191237
-19,-7,7,126.69,380.45,,,-3.4917000000000002,-0.7832399999999999,-1.67593,3.9514775910411033
-19,-5,3,3384.5,1427.9,,,-3.5165800000000003,-0.51986,-0.8947099999999999,3.66566437362997
-18,-6,6,79.05,1342.07,,,-3.3012000000000006,-0.74016,-1.4231399999999998,3.670297770644775
-17,-3,-1,4718.94,2344.02,,,-3.18176,-0.17619999999999994,-0.12908999999999995,3.1892487149327193
-17,-1,-5,1676.73,1291.85,,,-3.20664,0.08718000000000001,0.65213,3.2734406942695635
-17,1,-9,917.11,972.1,,,-3.23152,0.3505600000000001,1.43335,3.552478859402263
-17,3,-13,329.07,1001.1,,,-3.2564,0.6139400000000002,2.2145699999999997,3.9856471956885495
-16,-6,6,-300.95,760.65,,,-2.9415000000000004,-0.65988,-1.43874,3.340334811362478
-16,-4,2,2808.07,1810.8,,,-2.96638,-0.3965,-0.6575199999999999,3.0641401901349097
-16,4,-14,219.93,465.12,,,-3.0659,0.6570199999999999,2.4673599999999998,3.989897675379658
-15,-7,9,889.25,852.03,,,-2.7261200000000003,-0.8801800000000001,-1.9671699999999999,3.475083437228522
-14,-8,12,697.05,856.04,,,-2.51074,-1.1004800000000001,-2.4956,3.70714053388862
-14,-4,2,245.55,385.79,,,-2.60668,-0.31622,-0.6731199999999999,2.7106947901230045
-14,-2,-2,71564.88,6899.66,,,-2.6315600000000003,-0.05284,0.1081,2.6343093419718198
-14,0,-6,669.94,1012.04,,,-2.65644,0.21054,0.88932,2.809250901503815
-14,2,-10,689.1,891.72,,,-2.68132,0.47392000000000006,1.67054,3.194492291491717
-14,4,-14,1030.25,1041.17,,,-2.7062,0.7373000000000001,2.4517599999999997,3.7253532487000474
-13,-5,5,385.18,935.82,,,-2.3912999999999998,-0.5365200000000001,-1.20155,2.7294489925440995
-13,5,-15,708.92,600.37,,,-2.5157000000000003,0.78038,2.70455,3.7752258391916103
-12,-6,8,527.44,1009.35,,,-2.17592,-0.75682,-1.7299799999999999,2.881012870363477
-11,-7,11,931.58,975.22,,,-1.96054,-0.97712,-2.25841,3.146251152419336
-11,-1,-3,44881.1,1936.9,,,-2.08136,0.07051999999999994,0.34529,2.1109850080235057
-11,1,-7,123.41,978.84,,,-2.10624,0.3339,1.12651,2.4117962036001304
-11,3,-11,469.45,977.93,,,-2.13112,0.5972799999999999,1.90773,2.9219598911860514
-11,5,-15,1331.44,1002.53,,,-2.156,0.8606599999999999,2.6889499999999997,3.5523969004180826
-10,-8,14,202.18,851.51,,,-1.7451600000000003,-1.19742,-2.7868399999999998,3.4994107029041333
-10,-4,4,232.95,1020.39,,,-1.8411000000000002,-0.41316,-0.9643599999999999,2.119042379283624
-10,4,-12,137.64,267.51,,,-1.9406200000000002,0.6403599999999999,2.16052,2.9738718170761835
-10,6,-16,500.15,804.95,,,-1.9655000000000002,0.90374,2.94174,3.651543572956511
-9,-9,17,493.76,718.65,,,-1.5297800000000001,-1.41772,-3.31527,3.9167808235462958
-9,-5,7,7065.22,1099.58,,,-1.6257200000000003,-0.63346,-1.49279,2.2962271390478777
-9,7,-17,-88.54,461.63,,,-1.7750000000000001,0.9468200000000001,3.19453,3.7751973502454144
-8,-6,10,9973.09,1072.97,,,-1.4103400000000001,-0.8537600000000001,-2.02122,2.6083127384575646
-8,0,-4,66476.42,1859.27,,,-1.53116,0.19388,0.58248,1.6496434009809515
-8,2,-8,2040.1,1132.36,,,-1.55604,0.45726,1.3637,2.1189678806437815
-8,4,-12,3538.45,1025.71,,,-1.58092,0.7206400000000001,2.14492,2.7603101025790564
-7,-7,13,728.14,899.85,,,-1.19496,-1.07406,-2.5496499999999997,3.0136770576324197
-7,-3,3,1407.28,837.33,,,-1.2909000000000002,-0.2898,-0.72717,1.5096963465876179
-7,5,-13,543.19,710.39,,,-1.39042,0.7637200000000001,2.39771,2.8749868276046064
-7,7,-17,737.23,933.9,,,-1.4153,1.0271,3.17893,3.6281681941304758
-6,-8,16,513.02,763.09,,,-0.9795799999999999,-1.29436,-3.07808,3.4798737437441605
-6,-4,6,2432.3,1021.38,,,-1.07552,-0.5101,-1.2555999999999998,1.7301666510483895
-6,8,-18,46.69,759.5,,,-1.2248,1.0701800000000001,3.43172,3.797646959737042
-5,-9,19,-5.9,608.84,,,-0.7642000000000002,-1.5146600000000001,-3.6065099999999997,3.985612993718783
-5,-5,9,2204.32,1008.62,,,-0.8601400000000001,-0.7304,-1.78403,2.110944817019147
-5,9,-19,288.72,537.74,,,-1.0343,1.11326,3.68451,3.9855662405359666
-4,-6,12,653.89,906.09,,,-0.64476,-0.9507,-2.3124599999999997,2.5820567769125446
-4,0,-2,1811.73,1341.34,,,-0.76558,0.09694,0.29124,0.8248217004904758
-4,2,-6,1196.7,695.02,,,-0.79046,0.36032000000000003,1.07246,1.3801550512895282
-4,4,-10,616.06,816.47,,,-0.8153400000000001,0.6236999999999999,1.85368,2.118940902432156
-4,6,-14,2367.41,946.64,,,-0.8402200000000001,0.8870800000000001,2.6349,2.9044067526433
-3,-7,15,182.01,767.36,,,-0.42937999999999993,-1.171,-2.84089,3.102622145299037
-3,-3,5,399.95,687.03,,,-0.52532,-0.38674,-1.01841,1.209416329516019
-3,7,-15,288.13,761.81,,,-0.64972,0.93016,2.88769,3.102593631157648
-3,9,-19,1207.39,892.69,,,-0.6746,1.19354,3.66891,3.9166980327439083
-2,-8,18,138.99,542.24,,,-0.21400000000000008,-1.3913,-3.3693199999999996,3.6515515815061406
-2,-4,8,885.43,826.02,,,-0.30994,-0.60704,-1.54684,1.6903474053578453
-2,8,-16,155.88,380.77,,,-0.45922,0.9732400000000001,3.14048,3.319743022644976
-1,-7,17,1128.37,899.84,,,-0.02350000000000002,-1.34822,-3.11653,3.395733891119856
-1,-5,11,1085.34,774.29,,,-0.09456000000000003,-0.82734,-2.07527,2.2361079227309224
0,-8,20,476.46,856.1,,,0.19188,-1.56852,-3.6449599999999998,3.9727580251507892
0,-6,14,-56.98,605.63,,,0.12081999999999998,-1.04764,-2.6037,2.809163706870783
0,2,-4,-12.27,293.98,,,-0.02488,0.26338,0.78122,0.824798597961951
0,4,-8,229.27,622.46,,,-0.04976,0.52676,1.56244,1.649597195923902
0,6,-12,562.0,855.99,,,-0.07463999999999998,0.79014,2.34366,2.4743957938858525
1,-7,17,25.48,385.13,,,0.3362,-1.26794,-3.1321299999999996,3.3957238728288845
1,7,-13,140.74,538.53,,,0.11586000000000002,0.8332200000000001,2.59645,2.7293280694156206
1,9,-17,861.33,892.02,,,0.09098,1.0966,3.3776699999999997,3.552388428832072
2,-6,16,670.81,904.77,,,0.5267,-1.22486,-2.87934,3.1730574758740193
2,-4,10,29.07,274.57,,,0.45564000000000004,-0.70398,-1.83808,2.020330105799545
2,10,-18,264.46,758.71,,,0.28148000000000006,1.13968,3.63046,3.8155394512965004
3,-7,19,-30.25,767.65,,,0.74208,-1.44516,-3.4077699999999997,3.775190925622173
4,-4,12,11173.74,1010.39,,,0.8615200000000001,-0.8812,-2.11372,2.4467411773213774
4,2,-2,9151.97,1073.92,,,0.7407,0.16644,0.48997999999999997,0.9035591646372694
4,4,-6,-198.94,736.49,,,0.71582,0.42982000000000004,1.2711999999999999,1.5208855791281604
4,6,-10,617.17,865.31,,,0.69094,0.6932,2.05242,2.273840843155035
4,8,-14,338.68,894.02,,,0.66606,0.95658,2.83364,3.06401646039965
5,-5,15,88.18,817.32,,,1.0769000000000002,-1.1015000000000001,-2.64215,3.058426471651722
5,-1,5,1153.68,797.36,,,0.98096,-0.31723999999999997,-0.81967,1.3171114789948495
5,7,-11,251.92,541.92,,,0.8814400000000002,0.73628,2.3052099999999998,2.5754684731326067
5,9,-15,547.88,896.51,,,0.8565600000000002,0.99966,3.08643,3.355453068379887
6,-6,18,514.93,607.42,,,1.2922799999999999,-1.3218,-3.1705799999999997,3.6701117659820657
6,-2,8,949.67,781.35,,,1.19634,-0.53754,-1.3481,1.880838179429586
6,10,-16,174.18,707.65,,,1.0470599999999999,1.04274,3.33922,3.651579324018581
7,-5,17,378.37,940.78,,,1.48278,-1.27872,-2.9177899999999997,3.5138667947006756
7,-3,11,192.73,668.37,,,1.4117199999999999,-0.75784,-1.87653,2.4675169026574064
7,11,-17,6.17,535.0,,,1.23756,1.08582,3.5920099999999997,3.951340995927838
8,-4,14,168.82,466.54,,,1.6271,-0.97814,-2.40496,3.063991656516055
8,4,-4,54704.04,1527.79,,,1.4814,0.33288,0.9799599999999999,1.8071183292745387
8,6,-8,292.41,1053.38,,,1.45652,0.59626,1.76118,2.3619338454749323
9,-3,13,1706.41,1023.28,,,1.8176,-0.93506,-2.15217,2.968137913322088
9,1,3,1421.24,1080.77,,,1.7216600000000002,-0.1508,-0.32969,1.7594173159600313
9,3,-1,1082.56,966.48,,,1.6967800000000002,0.11258000000000001,0.45153,1.7594362636083185
9,5,-5,629.28,616.41,,,1.6719000000000002,0.37596000000000007,1.23275,2.110987468958544
9,7,-9,-378.49,769.09,,,1.6470200000000002,0.63934,2.01397,2.679086724408152
9,9,-13,1154.69,932.05,,,1.6221400000000001,0.9027200000000001,2.79519,3.355492320673674
10,-4,16,409.63,809.88,,,2.0329800000000002,-1.15536,-2.6806,3.557173143101134
10,0,6,1377.35,958.05,,,1.93704,-0.3711,-0.85812,2.150862409825417
10,8,-10,274.17,473.03,,,1.83752,0.68242,2.26676,2.9967278328870646
10,10,-14,485.72,811.5,,,1.8126400000000005,0.9458,3.04798,3.6702021047893263
11,-1,9,-326.66,814.95,,,2.1524199999999998,-0.5914,-1.38655,2.627772196918903
11,11,-15,618.22,708.58,,,2.0031399999999997,0.98888,3.30077,3.9856663316062972
12,-2,12,217.31,539.12,,,2.3678,-0.8117,-1.91498,3.151584066846385
13,-1,11,1722.57,1178.03,,,2.5583,-0.76862,-1.6621899999999998,3.1461963051437207
13,5,-3,3837.44,1530.43,,,2.43748,0.27902000000000005,0.94151,2.6278512117127177
13,7,-7,1320.03,1188.95,,,2.4126,0.5424,1.7227299999999999,3.0137410593645897
14,-2,14,-253.46,891.95,,,2.7736799999999997,-0.98892,-2.19062,3.6701606903785557
14,2,4,57.89,472.46,,,2.67774,-0.20466,-0.36814,2.7106649152560336
14,4,0,1044.37,1806.59,,,2.65286,0.058719999999999994,0.41308,2.6854700341653417
14,6,-4,1065.59,1019.95,,,2.62798,0.3221,1.1943,2.9045446769502443
14,8,-8,695.74,975.56,,,2.6031,0.58548,1.97552,3.31987886989872
14,10,-12,969.33,1045.36,,,2.57822,0.8488600000000001,2.7567399999999997,3.868772039756284
15,1,7,151.15,541.86,,,2.89312,-0.4249599999999999,-0.89657,3.0585244973516232
15,3,3,16216.9,3017.45,,,2.86824,-0.16157999999999995,-0.11534999999999998,2.8751025053900254
15,5,-1,481.46,542.48,,,2.84336,0.10180000000000006,0.66587,2.9220612906816315
15,7,-5,-130.48,470.27,,,2.81848,0.36518000000000006,1.44709,3.189240569618416
15,9,-9,729.71,763.21,,,2.7936,0.6285600000000001,2.22831,3.628312843416345
16,0,10,108.6,272.99,,,3.1085000000000003,-0.64526,-1.425,3.4799077168223875
16,2,6,2255.89,1584.3,,,3.0836200000000002,-0.38188,-0.64378,3.173168342083351
16,10,-10,215.49,539.63,,,2.9841,0.67164,2.4810999999999996,3.9385035622175075
17,1,9,1018.22,1143.99,,,3.299,-0.60218,-1.17221,3.5524777320202867
18,0,12,433.75,851.8,,,3.51438,-0.82248,-1.70064,3.9899268845932503
19,7,-3,2218.04,1600.3,,,3.5840600000000005,0.26824,1.15585,3.775371240513971
20,4,4,224.4,764.02,,,3.82432,-0.21543999999999996,-0.15380000000000005,3.8334700071867003
20,6,0,2421.25,1923.42,,,3.7994400000000006,0.04794000000000004,0.62742,3.8511944138929164
-20,-4,0,734.47,1198.3,,,-3.7319600000000004,-0.29956000000000005,-0.36627999999999994,3.7618376724149067
-20,-2,-4,7392.17,3515.0,,,-3.7568400000000004,-0.03617999999999999,0.41494,3.779858592804763
-20,0,-8,1221.23,1198.31,,,-3.7817200000000004,0.22719999999999996,1.19616,3.9728861982191237
-19,-7,7,126.69,380.45,,,-3.4917000000000002,-0.7832399999999999,-1.67593,3.9514775910411033
-19,-5,3,3384.5,1427.9,,,-3.5165800000000003,-0.51986,-0.8947099999999999,3.66566437362997
