h,k,l,centroid_frame,centroid_omega_deg,I_peak_obs,I_sim_at_peak
-5,-1,-1,434.5,244.34400000000002,1193506.5,0.0
-3,-1,-1,606.0,244.344,1093329.5,0.0
-7,-1,-1,1089.0,244.34400000000005,979303.69,0.0
-4,0,0,765.0,244.34399999999997,962219.25,0.0
5,1,1,235.5,244.34399999999997,950436.38,0.0
3,1,1,567.5,244.34399999999997,932383.5,0.0
1,1,1,659.0,244.34399999999988,846232.5,0.0
4,0,0,811.5000000000003,244.344,839927.69,0.0
-1,-1,-1,665.5,244.344,741701.81,0.0
2,2,0,1211.5,244.34400000000005,709053.0,0.0
1,-1,-1,699.5,244.34399999999997,665720.75,0.0
2,-2,0,1073.5,244.344,652987.0,0.0
-1,1,1,694.5000000000001,244.344,613829.56,0.0
-2,2,0,1064.5,244.34399999999997,551662.31,0.0
-2,-2,0,1224.4999999999998,244.34399999999994,550516.44,0.0
-2,0,-2,129.0,244.344,531028.0,0.0
2,0,2,117.0,244.344,515026.5,0.0
-12,-2,-2,771.8540245566169,244.3440000000001,477399.97,0.0
2,0,-2,336.0,244.34400000000002,448190.03,0.0
-2,0,2,327.0,244.34400000000002,426920.84,0.0
3,-1,1,1347.4999999999995,244.34399999999988,406128.88,0.0
-8,-2,-2,592.5,244.34400000000005,359742.06,0.0
-3,-1,1,61.999999999999986,244.344,352159.22,0.0
3,-1,-1,723.5,244.34400000000002,347607.66,0.0
0,2,2,678.4999999999999,244.34399999999997,344490.41,0.0
8,2,2,417.99999999999994,244.34399999999997,343274.03,0.0
-3,1,1,709.5,244.34399999999997,338149.41,0.0
0,-2,-2,686.0000000000001,244.34400000000008,329877.88,0.0
4,2,2,616.5,244.344,318386.25,0.0
3,1,-1,82.0,244.34399999999997,317685.38,0.0
-4,-2,-2,649.5,244.344,317451.88,0.0
-3,1,-1,1330.4999999999995,244.34399999999994,297891.38,0.0
2,2,2,655.5,244.3439999999999,294656.16,0.0
-1,-1,-3,397.99999999999994,244.34399999999997,277068.53,0.0
3,3,1,980.0000000000005,244.34400000000005,260461.64,0.0
9,1,1,1162.9999999999998,244.34399999999997,251153.94,0.0
1,-3,-1,940.9999999999998,244.34399999999994,243931.95,0.0
1,1,3,388.50000000000006,244.34400000000005,243614.28,0.0
-1,-3,-1,964.5,244.344,238913.64,0.0
0,-4,0,1135.5,244.34400000000002,238647.8,0.0
-5,-3,-1,1054.5,244.34399999999997,232686.92,0.0
2,-2,-2,701.4999999999999,244.34399999999997,230616.62,0.0
-2,-2,-2,669.0000000000002,244.34400000000014,228714.14,0.0
1,-3,1,1283.5,244.344,227916.09,0.0
-9,-1,-1,845.0000000000002,244.344,224531.33,0.0
1,3,1,954.5,244.344,223620.47,0.0
-5,-1,1,197.50000000000003,244.34400000000008,219249.94,0.0
0,4,0,1124.5,244.344,217124.72,0.0
-8,0,0,741.4999999999999,244.344,214120.42,0.0
-1,3,1,932.4999999999998,244.3439999999999,209229.7,0.0
