rotation_angle_deg,delta_alpha_deg,beta_deg
-69.795000,2.864789,-2.864789
-69.692000,2.860724,-2.860713
-69.589000,2.856660,-2.856637
-69.487000,2.852595,-2.852562
-69.384000,2.848530,-2.848486
-69.282000,2.844466,-2.844410
-69.179000,2.840401,-2.840334
-69.076000,2.836336,-2.836258
-68.974000,2.832272,-2.832182
-68.871000,2.828207,-2.828107
-68.768000,2.824142,-2.824031
-68.666000,2.820078,-2.819955
-68.563000,2.816013,-2.815879
-68.461000,2.811948,-2.811803
-68.358000,2.807884,-2.807727
-68.255000,2.803819,-2.803652
-68.153000,2.799754,-2.799576
-68.050000,2.795690,-2.795500
-67.947000,2.791625,-2.791424
-67.845000,2.787560,-2.787348
-67.742000,2.783496,-2.783273
-67.639000,2.779431,-2.779197
-67.537000,2.775366,-2.775121
-67.434000,2.771302,-2.771045
-67.332000,2.767237,-2.766969
-67.229000,2.763172,-2.762893
-67.126000,2.759104,-2.758815
-67.024000,2.755035,-2.754737
-66.921000,2.750966,-2.750659
-66.818000,2.746898,-2.746581
-66.716000,2.742829,-2.742502
-66.613000,2.738760,-2.738424
-66.510000,2.734692,-2.734346
-66.408000,2.730623,-2.730268
-66.305000,2.726554,-2.726189
-66.203000,2.722486,-2.722111
-66.100000,2.718417,-2.718033
-65.997000,2.714348,-2.713955
-65.895000,2.710280,-2.709877
-65.792000,2.706211,-2.705798
-65.689000,2.702142,-2.701720
-65.587000,2.698074,-2.697642
-65.484000,2.694005,-2.693564
-65.382000,2.689936,-2.689485
-65.279000,2.685868,-2.685407
-65.176000,2.681799,-2.681329
-65.074000,2.677730,-2.677251
-64.971000,2.673662,-2.673173
-64.868000,2.669593,-2.669094
-64.766000,2.665524,-2.665016
-64.663000,2.661456,-2.660938
-64.560000,2.657383,-2.656857
-64.458000,2.653311,-2.652777
-64.355000,2.649238,-2.648697
-64.253000,2.645166,-2.644616
-64.150000,2.641094,-2.640536
-64.047000,2.637021,-2.636455
-63.945000,2.632949,-2.632375
-63.842000,2.628876,-2.628294
-63.739000,2.624804,-2.624214
-63.637000,2.620731,-2.620133
-63.534000,2.616659,-2.616053
-63.431000,2.612587,-2.611972
-63.329000,2.608514,-2.607892
-63.226000,2.604442,-2.603811
-63.124000,2.600369,-2.599731
-63.021000,2.596297,-2.595650
-62.918000,2.592224,-2.591570
-62.816000,2.588152,-2.587489
-62.713000,2.584080,-2.583409
-62.610000,2.580007,-2.579329
-62.508000,2.575935,-2.575248
-62.405000,2.571862,-2.571168
-62.303000,2.567790,-2.567087
-62.200000,2.563718,-2.563007
-62.097000,2.559645,-2.558926
-61.995000,2.555569,-2.554844
-61.892000,2.551493,-2.550761
-61.789000,2.547417,-2.546678
-61.687000,2.543341,-2.542596
-61.584000,2.539266,-2.538513
-61.481000,2.535190,-2.534431
-61.379000,2.531114,-2.530348
-61.276000,2.527038,-2.526266
-61.174000,2.522962,-2.522183
-61.071000,2.518886,-2.518100
-60.968000,2.514810,-2.514018
-60.866000,2.510734,-2.509935
-60.763000,2.506658,-2.505853
-60.660000,2.502582,-2.501770
-60.558000,2.498506,-2.497688
-60.455000,2.494430,-2.493605
-60.352000,2.490354,-2.489523
-60.250000,2.486279,-2.485440
-60.147000,2.482203,-2.481357
-60.045000,2.478127,-2.477275
-59.942000,2.474051,-2.473192
-59.839000,2.469975,-2.469110
-59.737000,2.465899,-2.465027
-59.634000,2.461823,-2.460945
-59.531000,2.457747,-2.456862
-59.429000,2.453668,-2.452777
-59.326000,2.449589,-2.448693
-59.224000,2.445510,-2.444608
-59.121000,2.441430,-2.440524
-59.018000,2.437351,-2.436439
-58.916000,2.433272,-2.432355
-58.813000,2.429193,-2.428270
-58.710000,2.425114,-2.424186
-58.608000,2.421035,-2.420101
-58.505000,2.416955,-2.416017
-58.402000,2.412876,-2.411932
-58.300000,2.408797,-2.407848
-58.197000,2.404718,-2.403763
-58.095000,2.400639,-2.399679
-57.992000,2.396559,-2.395594
-57.889000,2.392480,-2.391510
-57.787000,2.388401,-2.387425
-57.684000,2.384322,-2.383341
-57.581000,2.380243,-2.379256
-57.479000,2.376164,-2.375172
-57.376000,2.372084,-2.371087
-57.274000,2.368005,-2.367003
-57.171000,2.363926,-2.362918
-57.068000,2.359847,-2.358834
-56.966000,2.355768,-2.354749
-56.863000,2.351686,-2.350663
-56.760000,2.347603,-2.346576
-56.658000,2.343521,-2.342490
-56.555000,2.339439,-2.338404
-56.452000,2.335357,-2.334317
-56.350000,2.331275,-2.330231
-56.247000,2.327192,-2.326145
-56.145000,2.323110,-2.322058
-56.042000,2.319028,-2.317972
-55.939000,2.314946,-2.313886
-55.837000,2.310864,-2.309799
-55.734000,2.306781,-2.305713
-55.631000,2.302699,-2.301627
-55.529000,2.298617,-2.297540
-55.426000,2.294535,-2.293454
-55.323000,2.290453,-2.289368
-55.221000,2.286370,-2.285281
-55.118000,2.282288,-2.281195
-55.016000,2.278206,-2.277109
-54.913000,2.274124,-2.273022
-54.810000,2.270042,-2.268936
-54.708000,2.265960,-2.264850
-54.605000,2.261877,-2.260763
-54.502000,2.257795,-2.256677
-54.400000,2.253713,-2.252591
-54.297000,2.249628,-2.248503
-54.195000,2.245543,-2.244415
-54.092000,2.241458,-2.240327
-53.989000,2.237373,-2.236239
-53.887000,2.233288,-2.232151
-53.784000,2.229203,-2.228063
-53.681000,2.225118,-2.223975
-53.579000,2.221033,-2.219887
-53.476000,2.216948,-2.215799
-53.373000,2.212863,-2.211711
-53.271000,2.208778,-2.207623
-53.168000,2.204693,-2.203535
-53.066000,2.200608,-2.199447
-52.963000,2.196523,-2.195359
-52.860000,2.192438,-2.191271
-52.758000,2.188353,-2.187183
-52.655000,2.184268,-2.183095
-52.552000,2.180183,-2.179007
-52.450000,2.176098,-2.174919
-52.347000,2.172013,-2.170831
-52.244000,2.167928,-2.166743
-52.142000,2.163843,-2.162655
